"Question","Option1","Option2","Option3","Option4"
"What is 3 + 5?","8","6","7","9"
"What is 9 - 7?","2","3","1","0"
"What is 7 x 5?","35","25","40","50"
"Is water a compound?","True","False","True","True"
"What is Newton's Second Law?","F = ma","Newton's Third Law","Law of Universal Gravitation","Law of Inertia"
"What is the value of Pi (π) to 5 decimal places?","3.14159","2.71828","1.61803","3.14159"
"At what angle are two vectors considered orthogonal in 2D space?","90°","45°","60°","30°"
"An atom consists of protons, neutrons, and what else?","Electrons","Molecules","Elements","Compounds"
"What does HTML stand for?","Hypertext Markup Language","Cascading Style Sheets","JavaScript","Ruby"
"Solve for x: 2x + 6 = 12","3","5","7","6"
"Which model describes the structure of the atom?","Bohr Model","Schrödinger Equation","Heisenberg Uncertainty Principle","Pauli Exclusion Principle"
"Solve for x: 3x + 5 = 14","3","5","7","6"
"What is the unit of distance in space?","Light Year","Kilometer","Meter","Mile"
"Which binary number represents the decimal number 42?","101010","110100","111000","100011"
"In programming, what data structure is used to store a list of elements in order?","Array","List","Tree","Stack"
"Who is known as the father of modern physics?","Albert Einstein","Isaac Newton","Marie Curie","Galileo Galilei"
"What is 5 x 2?","10","8","9","6"
"What is the chemical formula for common table salt?","NaCl","H2O","CO2","N2"
"What is the solution to the equation 2x = 4?","2","1","3","4"
"Which type of computing involves using many computers to work on separate tasks at the same time?","Parallel Computing","Distributed Computing","Quantum Computing","Supercomputing"
"What is the name of the device that stores electrical energy in a magnetic field?","Solenoid","Inductor","Transformer","Capacitor"
"Which fruit is known for its high vitamin C content?","Orange","Banana","Apple","Mango"
"Solve for x: 3x + 9 = 39","10","50","75","125"
"What is the value of the square root of 16?","4","3","5","7"
"Which element is the most abundant in the Earth's crust?","Silicon","Aluminum","Gold","Copper"
"Is the Earth the only planet in our solar system with liquid water?","True","False","False","True"
"What is a 2D array in programming?","Matrix","Array","Vector","String"
"What is the shape of a pyramid?","Pyramid","Prism","Sphere","Cube"
"What is the largest planet in our solar system?","Jupiter","Saturn","Mars","Earth"
"What is 5 squared?","25","20","30","15"
"What is the chemical symbol for Oxygen?","O","Ox","O2","Oy"
"Who discovered the law of gravity?","Isaac Newton","Albert Einstein","Galileo Galilei","Nikola Tesla"
"Which element has the atomic number 1?","Hydrogen","Helium","Oxygen","Nitrogen"
"What is the derivative of x² with respect to x?","2x","x","x²","1"
"Which planet is known as the Red Planet?","Mars","Venus","Jupiter","Saturn"
"What is the value of the gravitational constant G?","6.674 x 10⁻¹¹ N·m²/kg²","6.674 x 10⁻² N·m²/kg²","9.8 m/s²","3.14"
"Which chemical element has the symbol 'Fe'?","Iron","Copper","Zinc","Lead"
"Which data structure uses a LIFO (Last In, First Out) method?","Stack","Queue","Tree","Array"
"What is the boiling point of water at sea level in Celsius?","100°C","90°C","120°C","50°C"
"What does the abbreviation CSS stand for in web development?","Cascading Style Sheets","Central Style Sheets","Coded Style Syntax","Cascading Syntax Sheets"
"Who invented the first successful light bulb?","Thomas Edison","Nikola Tesla","Benjamin Franklin","Alexander Graham Bell"
"Which of the following is an example of a noble gas?","Neon","Oxygen","Nitrogen","Carbon"
"What is the speed of light in a vacuum?","299,792,458 m/s","300,000,000 m/s","3,000,000 m/s","300,000 m/s"
"What is the fundamental unit of electrical charge?","Coulomb","Ampere","Volt","Ohm"
